,location,city,country,utc,parameter,value,unit,latitude,longitude,attribution
55,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-12 23:00:00+00:00,pm25,149,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
56,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 00:00:00+00:00,pm25,122,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
57,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 01:00:00+00:00,pm25,83,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
58,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 02:00:00+00:00,pm25,152,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
59,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 03:00:00+00:00,pm25,150,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
60,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 04:00:00+00:00,pm25,124,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
61,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 05:00:00+00:00,pm25,113,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
62,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 06:00:00+00:00,pm25,101,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
63,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 07:00:00+00:00,pm25,66,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
64,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 08:00:00+00:00,pm25,46,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
65,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 09:00:00+00:00,pm25,40,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
66,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 10:00:00+00:00,pm25,30,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
67,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 11:00:00+00:00,pm25,30,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
68,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 12:00:00+00:00,pm25,27,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
69,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 13:00:00+00:00,pm25,25,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
70,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 14:00:00+00:00,pm25,26,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
71,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 15:00:00+00:00,pm25,51,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
72,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 16:00:00+00:00,pm25,55,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
73,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 17:00:00+00:00,pm25,50,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
74,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 18:00:00+00:00,pm25,35,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
75,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 19:00:00+00:00,pm25,53,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
76,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 20:00:00+00:00,pm25,48,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
77,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 21:00:00+00:00,pm25,53,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
78,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 22:00:00+00:00,pm25,30,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
79,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-13 23:00:00+00:00,pm25,47,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
80,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-14 00:00:00+00:00,pm25,26,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
81,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-14 01:00:00+00:00,pm25,42,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
82,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-14 02:00:00+00:00,pm25,63,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
83,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-14 03:00:00+00:00,pm25,42,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
84,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-14 04:00:00+00:00,pm25,48,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
85,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-14 05:00:00+00:00,pm25,49,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
