location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
HU0057A,Csongrád,HU,2019-12-30T00:00:00Z,2019-12-30T01:00:00+01:00,pm25,10.2898,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T23:00:00Z,2019-12-30T00:00:00+01:00,pm25,10.294575,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T22:00:00Z,2019-12-29T23:00:00+01:00,pm25,11.43576,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T21:00:00Z,2019-12-29T22:00:00+01:00,pm25,11.323455,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T20:00:00Z,2019-12-29T21:00:00+01:00,pm25,5.692178,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T19:00:00Z,2019-12-29T20:00:00+01:00,pm25,5.7056017,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T18:00:00Z,2019-12-29T19:00:00+01:00,pm25,8.913802,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T17:00:00Z,2019-12-29T18:00:00+01:00,pm25,8.90919,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T16:00:00Z,2019-12-29T17:00:00+01:00,pm25,7.25372,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T15:00:00Z,2019-12-29T16:00:00+01:00,pm25,7.2065043,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T14:00:00Z,2019-12-29T15:00:00+01:00,pm25,5.140835,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T13:00:00Z,2019-12-29T14:00:00+01:00,pm25,5.164033,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T12:00:00Z,2019-12-29T13:00:00+01:00,pm25,7.916852,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T11:00:00Z,2019-12-29T12:00:00+01:00,pm25,7.941923,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T10:00:00Z,2019-12-29T11:00:00+01:00,pm25,9.11358,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T09:00:00Z,2019-12-29T10:00:00+01:00,pm25,9.100841,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T08:00:00Z,2019-12-29T09:00:00+01:00,pm25,6.820622,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T07:00:00Z,2019-12-29T08:00:00+01:00,pm25,6.8247266,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T06:00:00Z,2019-12-29T07:00:00+01:00,pm25,8.298267,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T05:00:00Z,2019-12-29T06:00:00+01:00,pm25,8.435515,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T04:00:00Z,2019-12-29T05:00:00+01:00,pm25,14.45731,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T03:00:00Z,2019-12-29T04:00:00+01:00,pm25,14.43915,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T02:00:00Z,2019-12-29T03:00:00+01:00,pm25,12.27805,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T01:00:00Z,2019-12-29T02:00:00+01:00,pm25,12.18546,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-29T00:00:00Z,2019-12-29T01:00:00+01:00,pm25,7.529376,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T23:00:00Z,2019-12-29T00:00:00+01:00,pm25,7.498723,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T22:00:00Z,2019-12-28T23:00:00+01:00,pm25,2.011856,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T21:00:00Z,2019-12-28T22:00:00+01:00,pm25,2.017801,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T20:00:00Z,2019-12-28T21:00:00+01:00,pm25,3.438712,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T19:00:00Z,2019-12-28T20:00:00+01:00,pm25,3.45384,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T18:00:00Z,2019-12-28T19:00:00+01:00,pm25,4.117574,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T17:00:00Z,2019-12-28T18:00:00+01:00,pm25,4.1156387,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T16:00:00Z,2019-12-28T17:00:00+01:00,pm25,3.838882,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T15:00:00Z,2019-12-28T16:00:00+01:00,pm25,3.871053,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T14:00:00Z,2019-12-28T15:00:00+01:00,pm25,5.378814,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T13:00:00Z,2019-12-28T14:00:00+01:00,pm25,5.409463,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T12:00:00Z,2019-12-28T13:00:00+01:00,pm25,9.767762,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T11:00:00Z,2019-12-28T12:00:00+01:00,pm25,9.7555,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T10:00:00Z,2019-12-28T11:00:00+01:00,pm25,6.824876,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T09:00:00Z,2019-12-28T10:00:00+01:00,pm25,6.931425,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T08:00:00Z,2019-12-28T09:00:00+01:00,pm25,11.60626,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T07:00:00Z,2019-12-28T08:00:00+01:00,pm25,11.61999,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T06:00:00Z,2019-12-28T07:00:00+01:00,pm25,13.58365,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T05:00:00Z,2019-12-28T06:00:00+01:00,pm25,13.58964,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T04:00:00Z,2019-12-28T05:00:00+01:00,pm25,13.86941,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T03:00:00Z,2019-12-28T04:00:00+01:00,pm25,13.867655,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T02:00:00Z,2019-12-28T03:00:00+01:00,pm25,13.65862,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T01:00:00Z,2019-12-28T02:00:00+01:00,pm25,13.66098,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-28T00:00:00Z,2019-12-28T01:00:00+01:00,pm25,14.22261,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-27T23:00:00Z,2019-12-28T00:00:00+01:00,pm25,14.20974,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-27T22:00:00Z,2019-12-27T23:00:00+01:00,pm25,13.64673,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-27T21:00:00Z,2019-12-27T22:00:00+01:00,pm25,13.63225,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-27T20:00:00Z,2019-12-27T21:00:00+01:00,pm25,11.9095,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-27T19:00:00Z,2019-12-27T20:00:00+01:00,pm25,11.88919,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-27T18:00:00Z,2019-12-27T19:00:00+01:00,pm25,10.99816,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-27T17:00:00Z,2019-12-27T18:00:00+01:00,pm25,11.05615,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
