Rainfall - (MM), Year, Statistics, Country, ISO3
73.9612, 2004, Feb Average, Sri Lanka, LKA
34.2032, 2004, Mar Average, Sri Lanka, LKA
128.133, 2004, Apr Average, Sri Lanka, LKA
251.451, 2004, May Average, Sri Lanka, LKA
78.1188, 2004, Jun Average, Sri Lanka, LKA
58.3425, 2004, Jul Average, Sri Lanka, LKA
85.8172, 2004, Aug Average, Sri Lanka, LKA
285.431, 2004, Sep Average, Sri Lanka, LKA
353.653, 2004, Oct Average, Sri Lanka, LKA
273.835, 2004, Nov Average, Sri Lanka, LKA
262.444, 2004, Dec Average, Sri Lanka, LKA
123.56, 2005, Jan Average, Sri Lanka, LKA
27.2115, 2005, Feb Average, Sri Lanka, LKA
58.6216, 2005, Mar Average, Sri Lanka, LKA
177.947, 2005, Apr Average, Sri Lanka, LKA
94.1865, 2005, May Average, Sri Lanka, LKA
32.3375, 2005, Jun Average, Sri Lanka, LKA
75.4852, 2005, Jul Average, Sri Lanka, LKA
32.9146, 2005, Aug Average, Sri Lanka, LKA
40.0793, 2005, Sep Average, Sri Lanka, LKA
254.614, 2005, Oct Average, Sri Lanka, LKA
529.891, 2005, Nov Average, Sri Lanka, LKA
216.185, 2005, Dec Average, Sri Lanka, LKA
171.728, 2006, Jan Average, Sri Lanka, LKA
71.1903, 2006, Feb Average, Sri Lanka, LKA
174.097, 2006, Mar Average, Sri Lanka, LKA
102.363, 2006, Apr Average, Sri Lanka, LKA
64.5029, 2006, May Average, Sri Lanka, LKA
48.9105, 2006, Jun Average, Sri Lanka, LKA
30.9329, 2006, Jul Average, Sri Lanka, LKA
117.347, 2006, Aug Average, Sri Lanka, LKA
179.995, 2006, Sep Average, Sri Lanka, LKA
439.029, 2006, Oct Average, Sri Lanka, LKA
492.779, 2006, Nov Average, Sri Lanka, LKA
223.484, 2006, Dec Average, Sri Lanka, LKA
183.559, 2007, Jan Average, Sri Lanka, LKA
28.1393, 2007, Feb Average, Sri Lanka, LKA
32.4065, 2007, Mar Average, Sri Lanka, LKA
227.41, 2007, Apr Average, Sri Lanka, LKA
69.7858, 2007, May Average, Sri Lanka, LKA
55.5805, 2007, Jun Average, Sri Lanka, LKA
81.1417, 2007, Jul Average, Sri Lanka, LKA
177.017, 2007, Aug Average, Sri Lanka, LKA
108.08, 2007, Sep Average, Sri Lanka, LKA
247.456, 2007, Oct Average, Sri Lanka, LKA
