Temperature - (Celsius), Year, Statistics, Country, ISO3
27.6472, 2011, Oct Average, Sri Lanka, LKA
26.4297, 2011, Nov Average, Sri Lanka, LKA
25.8657, 2011, Dec Average, Sri Lanka, LKA
25.7302, 2012, Jan Average, Sri Lanka, LKA
26.6969, 2012, Feb Average, Sri Lanka, LKA
27.9898, 2012, Mar Average, Sri Lanka, LKA
28.4504, 2012, Apr Average, Sri Lanka, LKA
28.5908, 2012, May Average, Sri Lanka, LKA
28.3203, 2012, Jun Average, Sri Lanka, LKA
28.4088, 2012, Jul Average, Sri Lanka, LKA
27.9993, 2012, Aug Average, Sri Lanka, LKA
27.9487, 2012, Sep Average, Sri Lanka, LKA
27.2392, 2012, Oct Average, Sri Lanka, LKA
26.9293, 2012, Nov Average, Sri Lanka, LKA
26.0138, 2012, Dec Average, Sri Lanka, LKA
25.8074, 2013, Jan Average, Sri Lanka, LKA
26.4665, 2013, Feb Average, Sri Lanka, LKA
27.7709, 2013, Mar Average, Sri Lanka, LKA
28.8284, 2013, Apr Average, Sri Lanka, LKA
28.5585, 2013, May Average, Sri Lanka, LKA
27.5953, 2013, Jun Average, Sri Lanka, LKA
27.4895, 2013, Jul Average, Sri Lanka, LKA
27.4261, 2013, Aug Average, Sri Lanka, LKA
27.4095, 2013, Sep Average, Sri Lanka, LKA
27.6416, 2013, Oct Average, Sri Lanka, LKA
26.812, 2013, Nov Average, Sri Lanka, LKA
25.737, 2013, Dec Average, Sri Lanka, LKA
25.7599, 2014, Jan Average, Sri Lanka, LKA
26.5207, 2014, Feb Average, Sri Lanka, LKA
27.8556, 2014, Mar Average, Sri Lanka, LKA
28.4337, 2014, Apr Average, Sri Lanka, LKA
28.5338, 2014, May Average, Sri Lanka, LKA
29.1948, 2014, Jun Average, Sri Lanka, LKA
28.5237, 2014, Jul Average, Sri Lanka, LKA
27.6707, 2014, Aug Average, Sri Lanka, LKA
27.6948, 2014, Sep Average, Sri Lanka, LKA
27.0392, 2014, Oct Average, Sri Lanka, LKA
26.1658, 2014, Nov Average, Sri Lanka, LKA
25.7268, 2014, Dec Average, Sri Lanka, LKA
26.0479, 2015, Jan Average, Sri Lanka, LKA
26.4847, 2015, Feb Average, Sri Lanka, LKA
27.6221, 2015, Mar Average, Sri Lanka, LKA
27.8223, 2015, Apr Average, Sri Lanka, LKA
28.2743, 2015, May Average, Sri Lanka, LKA
28.3388, 2015, Jun Average, Sri Lanka, LKA
28.5128, 2015, Jul Average, Sri Lanka, LKA
28.1308, 2015, Aug Average, Sri Lanka, LKA
27.7243, 2015, Sep Average, Sri Lanka, LKA
27.1464, 2015, Oct Average, Sri Lanka, LKA
26.4391, 2015, Nov Average, Sri Lanka, LKA
26.4942, 2015, Dec Average, Sri Lanka, LKA
26.1549, 2016, Jan Average, Sri Lanka, LKA
27.3025, 2016, Feb Average, Sri Lanka, LKA
28.5561, 2016, Mar Average, Sri Lanka, LKA
29.2301, 2016, Apr Average, Sri Lanka, LKA
28.3677, 2016, May Average, Sri Lanka, LKA
28.1318, 2016, Jun Average, Sri Lanka, LKA
28.172, 2016, Jul Average, Sri Lanka, LKA
28.3109, 2016, Aug Average, Sri Lanka, LKA
28.0358, 2016, Sep Average, Sri Lanka, LKA
27.8509, 2016, Oct Average, Sri Lanka, LKA
26.5211, 2016, Nov Average, Sri Lanka, LKA
26.1204, 2016, Dec Average, Sri Lanka, LKA
